CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,"DESEMPENHO  LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA",MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
2.1182434E7,COL SAO PIO X,MA,BALSAS,Privada,Urbana,61.0,De 61 a 90 alunos,59.0,96.72131147540983,0.0,80% ou mais,Médio Alto,Maior que 50%,66.9,72.1,26.7,1.2,567.7838709677419,528.457627118644,6.779661016949152,57.6271186440678,33.89830508474576,1.694915254237288,0.0
2.1500002E7,COMPLEXO EDUCACIONAL DOM BOSCO BALSAS,MA,BALSAS,Privada,Urbana,51.0,De 31 a 60 alunos,50.0,98.0392156862745,0.0,De 40% a 60%,Alto,Maior que 50%,67.5,92.3,7.1,0.6,612.3833333333334,579.64,0.0,28.000000000000004,68.0,4.0,0.0
2.1346259E7,CE NEY BRAGA ANEXO I RODAGEM,MA,BARAO DE GRAJAU,Estadual,Rural,49.0,De 31 a 60 alunos,34.0,69.38775510204081,0.0,De 60% a 80%,Muito Baixo,Até 50%,28.2,91.2,8.3,0.5,467.84000000000003,458.8558823529412,41.17647058823529,58.82352941176471,0.0,0.0,0.0
2.116494E7,CE ARISTIDES LOBAO,MA,BARAO DE GRAJAU,Estadual,Urbana,125.0,Mais que 90 alunos,99.0,79.2,0.0,De 60% a 80%,Baixo,Maior que 50%,55.5,78.2,9.6,12.2,541.3633333333333,476.4636363636363,33.33333333333333,60.60606060606061,6.0606060606060606,0.0,0.0
2.1118604E7,CE PIO XI,MA,BARRA DO CORDA,Estadual,Urbana,147.0,Mais que 90 alunos,90.0,61.224489795918366,1.0,De 60% a 80%,Médio Baixo,Até 50%,46.9,76.6,10.3,13.1,521.05,458.0111111111111,41.11111111111111,55.55555555555556,3.3333333333333335,0.0,0.0
2.1335214E7,CE ARLINDO FERREIRA DE LUCENA,MA,BARRA DO CORDA,Estadual,Urbana,162.0,Mais que 90 alunos,93.0,57.407407407407405,0.0,De 60% a 80%,Médio Baixo,Até 50%,34.6,82.8,8.8,8.4,545.83,484.85376344086023,23.655913978494624,66.66666666666666,9.67741935483871,0.0,0.0
2.1199108E7,INSTITUTO FEDERAL DO MARANHAO - CAMPUS BARRA DO CORDA,MA,BARRA DO CORDA,Federal,Urbana,98.0,Mais que 90 alunos,77.0,78.57142857142857,0.0,80% ou mais,Médio,Maior que 50%,76.2,86.4,9.3,4.3,562.14,511.11038961038963,12.987012987012985,62.33766233766234,24.675324675324674,0.0,0.0
2.1114285E7,COLEGIO NOSSA SENHORA DE FATIMA,MA,BARRA DO CORDA,Privada,Urbana,21.0,De 1 a 30 alunos,16.0,76.19047619047619,0.0,80% ou mais,Médio Alto,Maior que 50%,75.0,100.0,0.0,0.0,,499.45,12.5,68.75,18.75,0.0,0.0
2.1263957E7,CENTRO EDUCACIONAL CRISTAO,MA,BARRA DO CORDA,Privada,Urbana,12.0,De 1 a 30 alunos,11.0,91.66666666666666,0.0,De 60% a 80%,Médio Alto,Até 50%,38.5,94.7,2.6,2.7,,515.7545454545455,9.090909090909092,72.72727272727273,18.181818181818183,0.0,0.0
2.1197067E7,INSTITUTO FEDERAL DO MARANHAO - CAMPUS BARREIRINHAS,MA,BARREIRINHAS,Federal,Rural,31.0,De 31 a 60 alunos,28.0,90.32258064516128,0.0,80% ou mais,Médio Baixo,Maior que 50%,78.9,97.6,1.0,1.4,,534.6357142857144,3.571428571428571,57.14285714285714,39.285714285714285,0.0,0.0
2.118559E7,CE LUCAS COELHO,MA,BENEDITO LEITE,Estadual,Urbana,41.0,De 31 a 60 alunos,25.0,60.97560975609756,0.0,De 60% a 80%,Baixo,Até 50%,42.5,67.3,14.4,18.3,,447.11199999999997,52.0,48.0,0.0,0.0,0.0
2.1138192E7,CE CANDIDO MENDES,MA,BREJO,Estadual,Urbana,249.0,Mais que 90 alunos,148.0,59.43775100401606,0.0,80% ou mais,Baixo,Até 50%,32.1,86.1,4.6,9.3,531.5066666666667,456.7425675675675,45.94594594594595,50.0,4.054054054054054,0.0,0.0
2.1591679E7,CENTRO DE ENSINO PROFESSORA MARIA DO SOCORRO COSTA MOURAO,MA,BURITI,Privada,Urbana,24.0,De 1 a 30 alunos,20.0,83.33333333333334,2.0,De 60% a 80%,Médio,Até 50%,24.1,88.0,12.0,0.0,,501.66,15.0,65.0,20.0,0.0,0.0
2.1577684E7,CE PROFESSORA LEDA TAJRA - ANEXO JUCARA,MA,BURITI BRAVO,Estadual,Rural,28.0,De 1 a 30 alunos,24.0,85.71428571428571,0.0,80% ou mais,Muito Baixo,Até 50%,28.6,94.7,5.3,0.0,,409.84583333333336,70.83333333333334,29.166666666666668,0.0,0.0,0.0
2.1155682E7,CE SENADOR CARVALHO GUIMARAES,MA,BURITI BRAVO,Estadual,Urbana,182.0,Mais que 90 alunos,108.0,59.34065934065934,0.0,De 60% a 80%,Baixo,Até 50%,39.5,80.2,6.3,13.5,520.4166666666666,452.8703703703704,48.148148148148145,48.148148148148145,3.7037037037037033,0.0,0.0
2.1437203E7,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MARANHAO CAMPUS BURITICUPU,MA,BURITICUPU,Federal,Urbana,93.0,Mais que 90 alunos,75.0,80.64516129032258,1.0,80% ou mais,Médio Baixo,Maior que 50%,71.3,98.0,0.3,1.7,577.5266666666666,521.4546666666666,10.666666666666668,50.66666666666667,38.666666666666664,0.0,0.0
2.1174148E7,CE LUZIA AIRES MARANHAO,MA,CAROLINA,Estadual,Urbana,102.0,Mais que 90 alunos,82.0,80.3921568627451,2.0,De 60% a 80%,Médio Baixo,Maior que 50%,63.0,74.9,17.7,7.4,563.5233333333333,504.28780487804875,18.29268292682927,58.536585365853654,23.170731707317074,0.0,0.0
2.1174202E7,CE SERTAO MARANHENSE,MA,CAROLINA,Estadual,Urbana,111.0,Mais que 90 alunos,60.0,54.054054054054056,0.0,80% ou mais,Médio Baixo,Até 50%,42.6,68.0,20.0,12.0,481.46666666666664,429.5883333333333,60.0,38.333333333333336,1.6666666666666667,0.0,0.0
2.1067244E7,CE DR TARQUINIO LOPES FILHO,MA,CARUTAPERA,Estadual,Urbana,79.0,De 61 a 90 alunos,43.0,54.43037974683544,0.0,80% ou mais,Médio Baixo,Até 50%,43.8,56.1,24.6,19.3,521.06,497.7488372093023,13.953488372093023,67.44186046511628,18.6046511627907,0.0,0.0
2.1155755E7,CE CONEGO ADERSON GUIMARAES JUNIOR,MA,CAXIAS,Estadual,Urbana,130.0,Mais que 90 alunos,100.0,76.92307692307693,0.0,De 60% a 80%,Baixo,Maior que 50%,76.4,77.7,15.4,6.9,548.2900000000001,474.80699999999996,35.0,54.0,10.0,1.0,0.0
2.1155771E7,CE ALUISIO AZEVEDO,MA,CAXIAS,Estadual,Urbana,218.0,Mais que 90 alunos,174.0,79.81651376146789,0.0,80% ou mais,Baixo,Maior que 50%,81.9,87.6,6.6,5.8,554.9366666666667,471.8,31.60919540229885,60.3448275862069,8.045977011494253,0.0,0.0
2.115958E7,CE THALES RIBEIRO GONCALVES -SEDE,MA,CAXIAS,Estadual,Urbana,131.0,Mais que 90 alunos,119.0,90.83969465648855,0.0,80% ou mais,Médio Baixo,Maior que 50%,62.7,90.9,8.1,1.0,593.8033333333334,530.1201680672269,10.084033613445378,47.05882352941176,42.857142857142854,0.0,0.0
2.115975E7,CE CEZAR MARQUES,MA,CAXIAS,Estadual,Urbana,142.0,Mais que 90 alunos,72.0,50.70422535211267,0.0,De 60% a 80%,Baixo,Maior que 50%,72.5,73.7,15.4,10.9,512.52,464.6361111111112,38.88888888888889,59.72222222222222,1.3888888888888888,0.0,0.0
2.1159971E7,CE ODOLFO MEDEIROS,MA,CAXIAS,Estadual,Urbana,125.0,Mais que 90 alunos,80.0,64.0,0.0,De 60% a 80%,Médio Baixo,Maior que 50%,75.4,80.5,9.0,10.5,533.9033333333333,467.7362499999999,33.75,58.75,7.5,0.0,0.0
2.1160015E7,CE EUGENIO BARROS,MA,CAXIAS,Estadual,Urbana,179.0,Mais que 90 alunos,98.0,54.7486033519553,1.0,De 60% a 80%,Médio Baixo,Maior que 50%,72.3,70.3,14.0,15.7,534.7733333333333,465.05,40.816326530612244,50.0,9.183673469387756,0.0,0.0
2.1160023E7,CE GONCALVES DIAS,MA,CAXIAS,Estadual,Urbana,37.0,De 31 a 60 alunos,31.0,83.78378378378379,2.0,De 40% a 60%,Médio Baixo,Maior que 50%,76.9,70.9,16.2,12.9,471.26666666666665,467.55806451612904,45.16129032258064,45.16129032258064,9.67741935483871,0.0,0.0
2.116004E7,CE INACIO PASSARINHO,MA,CAXIAS,Estadual,Urbana,238.0,Mais que 90 alunos,171.0,71.84873949579831,1.0,De 60% a 80%,Baixo,Maior que 50%,62.2,79.2,10.6,10.2,559.0699999999999,465.54269005847954,42.10526315789473,48.53801169590643,9.35672514619883,0.0,0.0
2.1160058E7,CE MONS CLOVIS VIDIGAL,MA,CAXIAS,Estadual,Urbana,128.0,Mais que 90 alunos,70.0,54.6875,0.0,De 60% a 80%,Médio Baixo,Maior que 50%,68.4,66.1,9.4,24.5,508.56000000000006,453.9228571428572,45.714285714285715,48.57142857142857,5.714285714285714,0.0,0.0
2.1160066E7,CE SANTOS DUMONT,MA,CAXIAS,Estadual,Urbana,189.0,Mais que 90 alunos,114.0,60.317460317460316,1.0,80% ou mais,Baixo,Maior que 50%,72.3,80.0,14.8,5.2,521.44,456.68333333333334,39.473684210526315,57.01754385964912,3.508771929824561,0.0,0.0
2.1155844E7,COLEGIO SAO JOSE,MA,CAXIAS,Privada,Urbana,54.0,De 31 a 60 alunos,47.0,87.03703703703704,0.0,80% ou mais,Alto,Maior que 50%,76.5,98.2,1.8,0.0,587.7133333333334,548.7063829787235,8.51063829787234,31.914893617021278,57.446808510638306,2.127659574468085,0.0
2.115628E7,ESC CASTRO ALVES E JI MORANGUINHO,MA,CAXIAS,Privada,Urbana,25.0,De 1 a 30 alunos,17.0,68.0,0.0,80% ou mais,Médio Alto,Maior que 50%,57.4,96.1,3.9,0.0,,537.7294117647059,11.76470588235294,35.294117647058826,47.05882352941176,5.88235294117647,0.0
