CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
2.6074079E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO AUGUSTA CORDEIRO DE MELO,PE,CALCADO,Estadual,Urbana,80.0,De 61 a 90 alunos,49.0,61.25000000000001,0.0,80% ou mais,Médio Baixo,Até 50%,49.0,82.1,8.8,9.1,488.641935483871,461.33673469387753,44.89795918367347,51.02040816326531,4.081632653061225,0.0,0.0
2.6015625E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANTONIO GOMES DE LIMA,PE,CALUMBI,Estadual,Urbana,97.0,Mais que 90 alunos,54.0,55.670103092783506,0.0,80% ou mais,Médio Baixo,Até 50%,50.0,93.1,3.1,3.8,493.9566666666667,450.9574074074074,48.148148148148145,48.148148148148145,3.7037037037037033,0.0,0.0
2.6108038E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO TITO PEREIRA DE OLIVEIRA,PE,CAMARAGIBE,Estadual,Rural,137.0,Mais que 90 alunos,96.0,70.07299270072993,0.0,80% ou mais,Médio,Maior que 50%,70.9,87.4,12.6,0.0,582.7266666666668,505.1458333333333,23.958333333333336,43.75,31.25,1.0416666666666665,0.0
2.6108046E7,ESC MAJOR LELIO ENS FUNDAMENTAL E MEDIO,PE,CAMARAGIBE,Estadual,Rural,22.0,De 1 a 30 alunos,13.0,59.09090909090909,0.0,De 40% a 60%,Médio,Maior que 50%,64.6,67.6,22.5,9.9,,457.7153846153846,46.15384615384615,46.15384615384615,7.6923076923076925,0.0,0.0
2.6107562E7,ESCOLA CONSELHEIRO SAMUEL MAC DOWELL,PE,CAMARAGIBE,Estadual,Urbana,27.0,De 1 a 30 alunos,17.0,62.96296296296296,0.0,De 60% a 80%,Médio,Até 50%,37.7,70.5,29.1,0.4,,477.61764705882354,29.411764705882355,64.70588235294117,5.88235294117647,0.0,0.0
2.610757E7,ESCOLA DE REFERENCIA EM ENSINO MEDIO DEPUTADO OSCAR CARNEIRO,PE,CAMARAGIBE,Estadual,Urbana,48.0,De 31 a 60 alunos,37.0,77.08333333333334,0.0,80% ou mais,Médio,Maior que 50%,64.4,90.2,9.8,0.0,482.55,467.09729729729725,40.54054054054054,56.75675675675676,2.7027027027027026,0.0,0.0
2.6107597E7,ESC FRANCISCO DE PAULA CORREIA DE ARAUJO,PE,CAMARAGIBE,Estadual,Urbana,274.0,Mais que 90 alunos,140.0,51.09489051094891,0.0,De 60% a 80%,Médio Baixo,Maior que 50%,62.4,74.4,13.4,12.2,525.8666666666667,448.00999999999993,55.714285714285715,39.285714285714285,5.0,0.0,0.0
2.61076E7,ESCOLA FREI CANECA,PE,CAMARAGIBE,Estadual,Urbana,145.0,Mais que 90 alunos,88.0,60.689655172413794,0.0,De 40% a 60%,Médio,Maior que 50%,74.7,63.9,35.3,0.8,549.6633333333334,482.45681818181816,30.681818181818183,56.81818181818182,12.5,0.0,0.0
2.6107627E7,ESCOLA JOAQUIM AMAZONAS,PE,CAMARAGIBE,Estadual,Urbana,72.0,De 61 a 90 alunos,41.0,56.94444444444444,0.0,De 60% a 80%,Médio,Maior que 50%,64.7,88.8,9.4,1.8,469.0466666666667,446.95853658536583,48.78048780487805,51.21951219512195,0.0,0.0,0.0
2.6107678E7,ESCOLA MINISTRO JARBAS PASSARINHO,PE,CAMARAGIBE,Estadual,Urbana,148.0,Mais que 90 alunos,111.0,75.0,0.0,De 60% a 80%,Médio,Maior que 50%,59.9,79.7,16.1,4.2,540.0266666666666,465.618018018018,42.34234234234234,48.64864864864865,9.00900900900901,0.0,0.0
