CARACTERÍSTICAS ESCOLA CÓDIGO DA ENTIDADE,NOME DA ENTIDADE,SIGLA DA UF,MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,LOCALIZAÇÃO,NÚMERO DE ALUNOS NO CENSO,PORTE DA ESCOLA,NÚMERO DE PARTICIPANTES NO ENEM,TAXA DE PARTICPAÇÃO,NÚMERO DE PARTICIPANTES COM NECESSIDADES ESPECIAIS,INDICADORES INDICADOR DE PERMANENCIA NA ESCOLA,INDICADOR NÍVEL SOCIOECONÔMICO,FAIXA - INDICADOR DE FORMAÇÃO DOCENTE,INDICADOR DE FORMAÇÃO DOCENTE,TAXA DE APROVAÇÃO,TAXA DE REPROVAÇÃO,TAXA DE ABANDONO,DESEMPENHO  CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS MÉDIA DOS 30 MELHORES ALUNOS DA ESCOLA,MÉDIA,Percentual alunos NÍVEL 1,Percentual alunos NÍVEL 2,Percentual alunos NÍVEL 3,Percentual alunos NÍVEL 4,Percentual alunos NÍVEL 5
3.1025038E7,EE AMERICO ANTUNES DE OLIVEIRA,MG,TURMALINA,Estadual,Urbana,109.0,Mais que 90 alunos,77.0,70.64220183486239,0.0,De 60% a 80%,Médio,Maior que 50%,78.8,78.6,16.7,4.7,604.4666666666667,546.3415584415585,5.194805194805195,44.15584415584416,49.35064935064935,1.2987012987012987,0.0
3.1181862E7,EE SENADOR LEVINDO COELHO,MG,UBA,Estadual,Urbana,366.0,Mais que 90 alunos,280.0,76.50273224043715,1.0,80% ou mais,Médio Alto,Maior que 50%,89.8,70.9,19.4,9.7,671.31,560.1042857142858,8.571428571428571,31.785714285714285,51.78571428571429,7.857142857142857,0.0
3.1181994E7,EE DOUTOR LEVINDO COELHO,MG,UBA,Estadual,Urbana,55.0,De 31 a 60 alunos,35.0,63.63636363636363,0.0,80% ou mais,Médio Alto,Maior que 50%,53.2,90.7,5.1,4.2,555.2066666666667,538.9,11.428571428571429,42.857142857142854,45.714285714285715,0.0,0.0
3.1182052E7,EE RAUL SOARES,MG,UBA,Estadual,Urbana,247.0,Mais que 90 alunos,184.0,74.49392712550608,0.0,De 60% a 80%,Médio Alto,Maior que 50%,66.8,73.0,17.1,9.9,641.01,554.1271739130435,7.065217391304348,35.32608695652174,53.2608695652174,4.3478260869565215,0.0
3.1182079E7,EE SAO JOSE,MG,UBA,Estadual,Urbana,20.0,De 1 a 30 alunos,14.0,70.0,0.0,De 60% a 80%,Médio Alto,Maior que 50%,56.1,93.2,5.9,0.9,,533.2428571428571,0.0,57.14285714285714,42.857142857142854,0.0,0.0
3.1184331E7,COLEGIO SAGRADO CORACAO DE MARIA,MG,UBA,Privada,Urbana,42.0,De 31 a 60 alunos,41.0,97.61904761904762,0.0,80% ou mais,Alto,Maior que 50%,56.3,96.7,3.3,0.0,675.8566666666668,657.6634146341463,0.0,2.4390243902439024,39.02439024390244,58.536585365853654,0.0
3.1184349E7,COLEGIO LOSANGO DE UBA,MG,UBA,Privada,Urbana,78.0,De 61 a 90 alunos,75.0,96.15384615384616,0.0,De 60% a 80%,Muito Alto,Até 50%,50.0,99.5,0.5,0.0,689.0799999999999,650.2506666666667,0.0,4.0,40.0,56.00000000000001,0.0
3.1238082E7,INSTITUTO DE APLICACAO EDUCACIONAL,MG,UBA,Privada,Urbana,26.0,De 1 a 30 alunos,25.0,96.15384615384616,0.0,De 60% a 80%,Alto,Maior que 50%,54.3,94.6,5.4,0.0,,628.328,0.0,4.0,64.0,32.0,0.0
3.1325775E7,COLEGIO RAIZ,MG,UBA,Privada,Urbana,27.0,De 1 a 30 alunos,25.0,92.5925925925926,0.0,De 60% a 80%,Alto,Maior que 50%,69.2,98.4,1.6,0.0,,624.152,0.0,4.0,72.0,24.0,0.0
3.1020079E7,EE DOM CAVATI,MG,UBAPORANGA,Estadual,Urbana,110.0,Mais que 90 alunos,80.0,72.72727272727273,0.0,80% ou mais,Médio,Maior que 50%,75.0,87.5,6.9,5.6,612.8166666666667,551.97875,5.0,42.5,43.75,8.75,0.0
